#version: 1.0.071119
Hugo Symbol	Alteration	Oncogenicity	Mutation Effect
AGO2	Amplification	Likely Oncogenic	Likely Gain-of-function
AKT1	Amplification	Likely Oncogenic	Likely Gain-of-function
AKT2	Amplification	Likely Oncogenic	Likely Gain-of-function
AKT3	Amplification	Oncogenic	Gain-of-function
ALK	Amplification	Likely Oncogenic	Likely Gain-of-function
AR	Amplification	Oncogenic	Gain-of-function
AURKA	Amplification	Oncogenic	Gain-of-function
AXL	Amplification	Likely Oncogenic	Likely Gain-of-function
BCL2L1	Amplification	Likely Oncogenic	Likely Gain-of-function
BCL6	Amplification	Likely Oncogenic	Likely Gain-of-function
BRAF	Amplification	Oncogenic	Gain-of-function
BRD4	Amplification	Likely Oncogenic	Gain-of-function
CARD11	Amplification	Likely Oncogenic	Likely Gain-of-function
CCND1	Amplification	Oncogenic	Gain-of-function
CCND2	Amplification	Likely Oncogenic	Likely Gain-of-function
CCND3	Amplification	Likely Oncogenic	Likely Gain-of-function
CCNE1	Amplification	Oncogenic	Gain-of-function
CD274	Amplification	Likely Oncogenic	Likely Gain-of-function
CDK12	Amplification	Inconclusive	Inconclusive
CDK4	Amplification	Oncogenic	Gain-of-function
CDK6	Amplification	Oncogenic	Gain-of-function
CDK8	Amplification	Oncogenic	Gain-of-function
CXCR4	Amplification	Likely Oncogenic	Likely Gain-of-function
DDR2	Amplification	Likely Oncogenic	Likely Gain-of-function
DNMT3B	Amplification	Likely Oncogenic	Likely Gain-of-function
EGFR	Amplification	Oncogenic	Gain-of-function
ERBB2	Amplification	Oncogenic	Gain-of-function
ERBB3	Amplification	Oncogenic	Gain-of-function
ERCC2	Amplification	Inconclusive	Inconclusive
ESR1	Amplification	Inconclusive	Inconclusive
ETV1	Amplification	Oncogenic	Gain-of-function
EZH2	Amplification	Oncogenic	Gain-of-function
FGF19	Amplification	Likely Oncogenic	Likely Gain-of-function
FGF3	Amplification	Inconclusive	Inconclusive
FGF4	Amplification	Inconclusive	Inconclusive
