#version 3.1.022820
Isoform,RefSeq,EntrezID,Hugo_Symbol,Chromosome,Start,End,Strand,Num_Exons,Oncogene,TSG
ENST00000257430,NM_000038,324,APC,chr5,112707498,112846239,+,16,No,Yes
ENST00000374690,NM_000044,367,AR,chrX,67544021,67730619,+,8,Yes,No
ENST00000278616,NM_000051,472,ATM,chr11,108222484,108369102,+,63,No,Yes
ENST00000355112,NM_000057,641,BLM,chr15,90717346,90816166,+,22,No,Yes
ENST00000544455,NM_000059,675,BRCA2,chr13,32315086,32400266,+,28,No,Yes
ENST00000308731,NM_000061,695,BTK,chrX,101349447,101390796,-,19,Yes,No
ENST00000257904,NM_000075,1019,CDK4,chr12,57747727,57756013,-,8,Yes,No
ENST00000304494,NM_000077,1029,CDKN2A,chr9,21967753,21995301,-,3,No,Yes
ENST00000222139,NM_000121,2057,EPOR,chr19,11377207,11384342,-,8,Yes,No
ENST00000285398,NM_000122,2071,ERCC3,chr2,127257290,127294166,-,15,No,Yes
ENST00000652225,NM_000123,2073,ERCC5,chr13,102807146,102876001,+,15,No,No
ENST00000652225,NM_000123,100533467,ERCC5,chr13,102807146,102876001,+,15,No,No
ENST00000389301,NM_000135,2175,FANCA,chr16,89737549,89816657,-,43,No,Yes
ENST00000289081,NM_000136,2176,FANCC,chr9,95099054,95426796,-,15,No,Yes
ENST00000358487,NM_000141,2263,FGFR2,chr10,121478334,121598458,-,18,Yes,No
ENST00000440486,NM_000142,2261,FGFR3,chr4,1793293,1808872,+,18,Yes,No
ENST00000366560,NM_000143,2271,FH,chr1,241497603,241519761,-,10,No,Yes
ENST00000234420,NM_000179,2956,MSH6,chr2,47695530,47810101,+,10,No,Yes
ENST00000302850,NM_000208,3643,INSR,chr19,7112255,7294414,-,22,Yes,No
ENST00000458235,NM_000215,3718,JAK3,chr19,17824780,17848071,-,24,Yes,No
ENST00000288135,NM_000222,3815,KIT,chr4,54657918,54740715,+,21,Yes,No
ENST00000394374,NM_000244,4221,MEN1,chr11,64803510,64811294,-,10,No,Yes
ENST00000397752,NM_000245,4233,MET,chr7,116672196,116798386,+,21,Yes,No
ENST00000324288,NM_000246,4261,CIITA,chr16,10866222,10943021,+,20,No,Yes
ENST00000231790,NM_000249,4292,MLH1,chr3,36993350,37050846,+,19,No,Yes
ENST00000233146,NM_000251,4436,MSH2,chr2,47403067,47663146,+,16,No,Yes
ENST00000331920,NM_000264,5727,PTCH1,chr9,95442980,95517057,-,24,No,Yes
ENST00000338641,NM_000268,4771,NF2,chr22,29603556,29698598,+,16,No,Yes
ENST00000371953,NM_000314,5728,PTEN,chr10,87863625,87971930,+,9,No,Yes
ENST00000267163,NM_000321,5925,RB1,chr13,48303726,48599436,+,27,No,Yes
ENST00000245479,NM_000346,6662,SOX9,chr17,72121020,72126416,+,3,Yes,Yes
ENST00000298552,NM_000368,7248,TSC1,chr9,132891348,132946874,-,23,No,Yes
ENST00000298171,NM_000369,7253,TSHR,chr14,80954989,81146302,+,10,Yes,No
ENST00000391945,NM_000400,2068,ERCC2,chr19,45349837,45370918,-,23,No,Yes
ENST00000367739,NM_000416,3459,IFNGR1,chr6,137197484,137219449,-,7,No,No
ENST00000263388,NM_000435,4854,NOTCH3,chr19,15159038,15200995,-,33,Yes,Yes
ENST00000326873,NM_000455,6794,STK11,chr19,1177558,1228431,+,10,No,Yes
ENST00000380036,NM_000459,7010,TEK,chr9,27109141,27230174,+,23,No,No
ENST00000260947,NM_000465,580,BARD1,chr2,214725646,214809683,-,11,No,Yes
ENST00000373344,NM_000489,546,ATRX,chrX,77504878,77786233,-,35,No,Yes
ENST00000371085,NM_000516,2778,GNAS,chr20,58839718,58911192,+,13,Yes,No
ENST00000441310,NM_000534,5378,PMS1,chr2,189784085,189877629,+,13,No,Yes
ENST00000265849,NM_000535,5395,PMS2,chr7,5970925,6009106,-,15,No,Yes
ENST00000257555,NM_000545,6927,HNF1A,chr12,120978543,121002512,+,10,No,Yes
ENST00000269305,NM_000546,7157,TP53,chr17,7661779,7687550,-,11,No,Yes
ENST00000219476,NM_000548,7249,TSC2,chr16,2047967,2089491,+,42,No,Yes
ENST00000256474,NM_000551,7428,VHL,chr3,10141008,10152220,+,3,No,Yes
ENST00000423557,NM_000572,3586,IL10,chr1,206767602,206774541,-,5,No,No
ENST00000296870,NM_000588,3562,IL3,chr5,132060655,132063204,+,5,Yes,No
ENST00000354258,NM_000593,6890,TAP1,chr6,32845209,32853978,-,11,No,No
ENST00000222390,NM_000601,3082,HGF,chr7,81699010,81770438,-,18,Yes,No
ENST00000398117,NM_000633,596,BCL2,chr18,63123346,63320128,-,2,Yes,No
ENST00000373106,NM_000760,1441,CSF3R,chr1,36466043,36483278,-,17,Yes,No
ENST00000650285,NM_000875,3480,IGF1R,chr15,98648539,98964530,+,21,Yes,No
ENST00000325455,NM_000926,5241,PGR,chr11,101029624,101129813,-,8,Yes,No
ENST00000254066,NM_000964,5914,RARA,chr17,40309180,40357643,+,9,No,No
ENST00000402690,NM_001003652,4087,SMAD2,chr18,47808957,47931146,-,11,No,Yes
ENST00000403683,NM_001005464,333932,H3C15,chr1,149852619,149854274,+,1,No,No
ENST00000265960,NM_001006617,79109,MAPKAP1,chr9,125437393,125707234,-,12,No,No
ENST00000504102,NM_001007228,8405,SPOP,chr17,49598884,49678163,-,10,No,Yes
ENST00000415083,NM_001007559,6760,SS18,chr18,26016253,26091217,-,11,Yes,No
ENST00000360948,NM_001012338,4916,NTRK3,chr15,87859751,88256768,-,20,Yes,No
ENST00000340398,NM_001013699,440093,H3-5,chr12,31791185,31792298,-,1,No,No
ENST00000340398,NM_001013699,440093,H3F3C,chr12,31791185,31792298,-,1,No,No
ENST00000407796,NM_001014431,207,AKT1,chr14,104769349,104795751,-,14,Yes,No
ENST00000332070,NM_001015877,84295,PHF6,chrX,134373253,134428791,+,10,No,Yes
ENST00000378909,NM_001017363,138715,ARID3C,chr9,34621379,34628086,-,7,No,No
ENST00000305188,NM_001017420,157570,ESCO2,chr8,27771949,27812640,+,11,No,Yes
ENST00000383807,NM_001018115,2177,FANCD2,chr3,10026414,10101930,+,44,No,Yes
ENST00000318443,NM_001024736,80381,CD276,chr15,73683966,73714514,+,10,No,No
ENST00000359013,NM_001024847,7048,TGFBR2,chr3,30606601,30694142,+,8,No,Yes
ENST00000393350,NM_001031804,4094,MAF,chr16,79585843,79600737,-,1,No,Yes
ENST00000397332,NM_001033082,4610,MYCL,chr1,39895426,39902256,-,3,No,No
ENST00000359435,NM_001033549,29086,BABAM1,chr19,17267376,17281249,+,9,No,No
ENST00000261464,NM_001033910,7188,TRAF5,chr1,211326615,211374946,+,11,No,Yes
ENST00000361050,NM_001039396,219972,MPEG1,chr11,59208510,59212927,-,1,No,No
ENST00000392795,NM_001039933,974,CD79B,chr17,63928740,63932354,-,6,Yes,No
ENST00000569418,NM_001042355,1540,CYLD,chr16,50742050,50801935,+,18,No,Yes
ENST00000508803,NM_001042424,7468,WHSC1,chr4,1871393,1982207,+,22,Yes,No
ENST00000508803,NM_001042424,7468,NSD2,chr4,1871393,1982207,+,22,Yes,No
ENST00000358273,NM_001042492,4763,NF1,chr17,31094927,31382116,+,58,No,Yes
ENST00000399788,NM_001042603,5927,KDM5A,chr12,280057,389320,-,28,Yes,No
ENST00000218089,NM_001042749,10735,STAG2,chrX,123960212,124422664,+,35,No,Yes
ENST00000619559,NM_001042771,3932,LCK,chr1,32251239,32286165,+,13,Yes,No
ENST00000372115,NM_001048171,4595,MUTYH,chr1,45329163,45340893,-,16,No,Yes
ENST00000541398,NM_001077706,345930,ECT2L,chr6,138795911,138904070,+,22,No,Yes
